Chunk_Text,Page_Number
"PATENT COOPERATION TREATY From the INTERNATIONAL SEARCHING AUTHORITY To: Dehns St Bride's House 10 Salisbury Square London EC4Y 8JD ROYAUME UNI Applicant's or agent's file reference 119.158.155567/03 PCT NOTIFICATION OF TRANSMITTAL OF THE INTERNATIONAL SEARCH REPORT AND THE WRITTEN OPINION OF THE INTERNATIONAL SEARCHING AUTHORITY, OR THE DECLARATION (PCT Rule 44.1) Date of mailing (day/month/year) 24 November 2022 (24-11-2022) FOR FURTHER ACTION See paragraphs 1 and 4 below International application No. PCT/EP2022/071991 International filing date (day/month/year) 4 August 2022 (04-08-2022) Applicant NICOVENTURES TRADING LIMITED 1. X The applicant is hereby notified that the international search report and the written opinion of the International Searching Authority have been established and are transmitted herewith. Filing of amendments and statement under Article 19: The applicant is entitled, if he so wishes, to amend the claims of the international application (see Rule 46): When? The time limit for filing such amendments is normally two months from the date of transmittal of the international search report. How? Directly to the International Bureau preferably through ePCT, or on paper to: The International Bureau of WIPO, 34 chemin des Colombettes, 1211 Geneva 20, Switzerland For more detailed instructions, see the PCT Applicant's Guide, International Phase, paragraphs 9.004 - 9.011. 2. The applicant is hereby notified that no international search report will be established and that the declaration under Article 17(2)(a) to that effect and the written opinion of the International Searching Authority are transmitted herewith. 3. With regard to any protest against payment of (an) additional fee(s) under Rule 40.2, the applicant is notified that: the protest together with the decision thereon has been transmitted to the International Bureau together with any request to forward the texts of both the protest and the decision thereon to the designated Offices. no decision has been made yet on the protest; the applicant will be notified as soon as a decision is made. 4. Reminders The applicant may submit comments on an informal basis on the written opinion of the International Searching Authority to the International Bureau. These comments will be made available to the public after international publication. The International Bureau will send a copy of such comments to all designated Offices unless an international preliminary examination report has been or is to be established. Shortly after the expiration of 18 months from the priority date, the international application will be published by the International Bureau. If the applicant wishes to avoid or postpone publication, a notice of withdrawal of the international application, or of the priority claim, must reach the International Bureau before the completion of the technical preparations for international publication (Rules 90bis.1 and 90bis.3). Within 19 months from the priority date, but only in respect of some designated Offices, a demand for international preliminary examination must be filed if the applicant wishes to postpone the entry into the national phase until 30 months from the priority date (in some Offices even later); otherwise, the applicant must, within 20 months from the priority date, perform the prescribed acts for entry into the national phase before those designated Offices. In respect of other designated Offices, the time limit of 30 months (or later) will apply even if no demand is filed within 19 months. For details about the applicable time limits, Office by Office, see www.wipo.int/pct/en/texts/time_limits.html and the PCT Applicant's Guide, National Chapters. Within 22 months from the priority date, the applicant may request that a supplementary international search be carried out by a different International Searching Authority that offers this service (Rule 45bis.1). The procedure for requesting supplementary international search is described in the PCT Applicant's Guide, International Phase, paragraphs 8.006-8.032. Name and mailing address of the International Searching Authority European Patent Office, P.B. 5818 Patentlaan 2 NL-2280 HV Rijswijk Tel. (+31-70) 340-2040 Fax: (+31-70) 340-3016 Authorized officer KOUROUSSENKO, Svetlana Tel: +31 (0)70 340-2885 Form PCT/ISA/220 (revised January 2020)",1
"PATENT COOPERATION TREATY PCT INTERNATIONAL SEARCH REPORT (PCT Article 18 and Rules 43 and 44) Applicant's or agent's file reference 119.158.155567/03 FOR FURTHER see Form PCT/ISA/220 ACTION as well as, where applicable, item 5 below. International application No. International filing date (day/month/year) (Earliest) Priority Date (day/month/year) PCT/EP2022/071991 4 August 2022 (04-08-2022) 4 August 2021 (04-08-2021) Applicant NICOVENTURES TRADING LIMITED This international search report has been prepared by this International Searching Authority and is transmitted to the applicant according to Article 18. A copy is being transmitted to the International Bureau. This international search report consists of a total of 4 sheets. It is also accompanied by a copy of each prior art document cited in this report. 1. Basis of the report a. With regard to the language, the international search was carried out on the basis of: × the international application in the language in which it was filed a translation of the international application into which is the language of a translation furnished for the purposes of international search (Rules 12.3(a) and 23.1(b)) b. This international search report has been established taking into account the rectification of an obvious mistake authorized by or notified to this Authority under Rule 91 (Rule 43.6bis(a)). C. With regard to any nucleotide and/or amino acid sequence disclosed in the international application, see Box No. I. 2. Certain claims were found unsearchable (See Box No. II) 3. Unity of invention is lacking (see Box No III) 4. With regard to the title, the text is approved as submitted by the applicant the text has been established by this Authority to read as follows: 5. With regard to the abstract, X the text is approved as submitted by the applicant the text has been established, according to Rule 38.2, by this Authority as it appears in Box No. IV. The applicant may, within one month from the date of mailing of this international search report, submit comments to this Authority 6. With regard to the drawings, a. the figure of the drawings to be published with the abstract is Figure No. 1 b. X as suggested by the applicant as selected by this Authority, because the applicant failed to suggest a figure as selected by this Authority, because this figure better characterizes the invention none of the figures is to be published with the abstract Form PCT/ISA/210 (first sheet) (July 2022)",2
"INTERNATIONAL SEARCH REPORT A. CLASSIFICATION OF SUBJECT MATTER INV. A24D1/20 ADD. According to International Patent Classification (IPC) or to both national classification and IPC B. FIELDS SEARCHED Minimum documentation searched (classification system followed by classification symbols) A24D A24F International application No PCT/EP2022/071991 Documentation searched other than minimum documentation to the extent that such documents are included in the fields searched Electronic data base consulted during the international search (name of data base and, where practicable, search terms used) EPO-Internal, WPI Data C. DOCUMENTS CONSIDERED TO BE RELEVANT Category* Citation of document, with indication, where appropriate, of the relevant passages Relevant to claim No. X WO 2004/080843 A2 (VINKS LINKS LTD [CA] ; 1-10, VINK MICHAEL A [CA] ; VINK HENRIKUS [CA] ) 16-19, 23 September 2004 (2004-09-23) 33,34, 40-48 page 6, line 20 - page 8, line 28 pages - A EP 2 394 520 A1 (SHIMIZU KAZUHIKO [ JP] ) 14 December 2011 (2011-12-14) abstract; figures 1,2 1-48 A EP 3 821 723 A1 (KT & G CORP [KR]) 19 May 2021 (2021-05-19) paragraphs [0042] - [0045], [0065]; figures 1,2 29,48 -/ -- Further documents are listed in the continuation of Box C. See patent family annex. * Special categories of cited documents : ""A"" document defining the general state of the art which is not considered to be of particular relevance ""T"" later document published after the international filing date or priority date and not in conflict with the application but cited to understand the principle or theory underlying the invention ""E"" earlier application or patent but published on or after the international filing date ""X"" document of particular relevance; the claimed invention cannot be considered novel or cannot be considered to involve an inventive ""L"" document which may throw doubts on priority claim(s) or which is cited to establish the publication date of another citation or other special reason (as specified) ""O"" document referring to an oral disclosure, use, exhibition or other means step when the document is taken alone ""Y"" document of particular relevance; the claimed invention cannot be considered to involve an inventive step when the document is combined with one or more other such documents, such combination being obvious to a person skilled in the art ""P"" document published prior to the international filing date but later than the priority date claimed ""&"" document member of the same patent family Date of the actual completion of the international search 9 November 2022 Date of mailing of the international search report 24/11/2022 Name and mailing address of the ISA/ European Patent Office, P.B. 5818 Patentlaan 2 NL - 2280 HV Rijswijk Tel. (+31-70) 340-2040, Fax: (+31-70) 340-3016 Authorized officer Kock, Søren 1 Form PCT/ISA/210 (second sheet) (April 2005) page 1 of 2",3
"INTERNATIONAL SEARCH REPORT International application No PCT/EP2022/071991 C(Continuation). DOCUMENTS CONSIDERED TO BE RELEVANT Category* Citation of document, with indication, where appropriate, of the relevant passages Relevant to claim No. X US 2006/118589 A1 (ARNARP JAN [US] ET AL) 8 June 2006 (2006-06-08) paragraphs [0017] - [0032] ; figures 1-19 X US 5 005 698 A (MIKHAIL AMEER G [US]) 9 April 1991 (1991-04-09) column 2, line 56 - column 4, line 15 figures 1-19 A US 2 885 071 A (DAVID RODNON) 5 May 1959 (1959-05-05) the whole document 1-46 A US 5 613 505 A (CAMPBELL JOHN M [US] ET AL) 25 March 1997 (1997-03-25) column 11, line 50 - column 12, line 62; figures 11,12A-G 29 1 Form PCT/ISA/210 (continuation of second sheet) (April 2005) page 2 of 2",4
INTERNATIONAL SEARCH REPORT Information on patent family members International application No PCT/EP2022/071991 Patent document cited in search report Publication date Patent family member(s) Publication date WO 2004080843 A2 23-09-2004 CA 2421989 A1 13-09-2004 US 2004187882 A1 30-09-2004 WO 2004080843 A2 23-09-2004 EP 2394520 A1 14-12-2011 EP 2394520 A1 14-12-2011 JP 4739433 B2 03-08-2011 JP 2010178730 A 19-08-2010 US 2011290269 A1 01-12-2011 WO 2010090338 A1 12-08-2010 EP 3821723 A1 19-05-2021 CA 3084075 A1 12-12-2019 CA 3168416 A1 12-12-2019 CN 111132564 A 08-05-2020 CN 111869936 A 03-11-2020 CN 114766723 A 22-07-2022 EP 3804548 A1 14-04-2021 EP 3821723 A1 19-05-2021 EP 3977872 A1 06-04-2022 JP 6840883 B2 10-03-2021 JP 6931126 B2 01-09-2021 JP 2020191890 A 03-12-2020 JP 2020536547 A 17-12-2020 JP 2021191277 A 16-12-2021 JP 2022050558 A 30-03-2022 KR 20190138448 A 13-12-2019 MY 193445 A 13-10-2022 PH 12020550910 A1 17-05-2021 PH 12020551226 A1 23-08-2021 RU 2753545 C1 17-08-2021 RU 2020124809 A 14-10-2020 UA 126355 C2 21-09-2022 US 2021059300 A1 04-03-2021 US 2022079220 A1 17-03-2022 WO 2019235711 A1 12-12-2019 US 2006118589 A1 08-06-2006 NONE US 5005698 A 09-04-1991 NONE US 2885071 A 05-05-1959 NONE US 5613505 A 25-03-1997 AT 203376 T 15-08-2001 BR 9505874 A 21-02-1996 CA 2164614 A1 19-10-1995 CN 1126426 A 10-07-1996 DE 69521856 T2 11-04-2002 EP 0703735 A1 03-04-1996 ES 2161877 T3 16-12-2001 JP 3588469 B2 10-11-2004 JP H08511175 A 26-11-1996 KR 960702734 A 23-05-1996 PH 31194 A 24-04-1998 PT 703735 E 30-01-2002 TW 274507 B 21-04-1996 US 5613505 A 25-03-1997 WO 9527411 A1 19-10-1995 Form PCT/ISA/210 (patent family annex) (April 2005),5
"PATENT COOPERATION TREATY From the INTERNATIONAL SEARCHING AUTHORITY To: see form PCT/SA/220 Applicant's or agent's file reference see form PCT/ISA/220 PCT WRITTEN OPINION OF THE INTERNATIONAL SEARCHING AUTHORITY (PCT Rule 43bis.1) Date of mailing (day/month/year) see form PCT/SA/210 (second sheet) FOR FURTHER ACTION See paragraph 2 below International application No. PCT/EP2022/071991 International filing date (day/month/year) 04.08.2022 Priority date (day/month/year) 04.08.2021 International Patent Classification (IPC) or both national classification and IPC INV. A24D1/20 Applicant NICOVENTURES TRADING LIMITED 1. This opinion contains indications relating to the following items: Box No. I Basis of the opinion Box No. II Priority Box No. III Non-establishment of opinion with regard to novelty, inventive step and industrial applicability Box No. IV Lack of unity of invention Box No. V Reasoned statement under Rule 43bis.1(a)(i) with regard to novelty, inventive step and industrial applicability; citations and explanations supporting such statement Box No. VI Certain documents cited Box No. VII Certain defects in the international application Box No. VIII Certain observations on the international application 2. FURTHER ACTION If a demand for international preliminary examination is made, this opinion will usually be considered to be a written opinion of the International Preliminary Examining Authority (""IPEA"") except that this does not apply where the applicant chooses an Authority other than this one to be the IPEA and the chosen IPEA has notifed the International Bureau under Rule 66.1 bis(b) that written opinions of this International Searching Authority will not be so considered. If this opinion is, as provided above, considered to be a written opinion of the IPEA, the applicant is invited to submit to the IPEA a written reply together, where appropriate, with amendments, before the expiration of 3 months from the date of mailing of Form PCT/SA/220 or before the expiration of 22 months from the priority date, whichever expires later. For further options, see Form PCT/SA/220. Name and mailing address of the ISA: Date of completion of Authorized Officer this opinion uropäisches Patentamt . European Patent Office P.B. 5818 Patentlaan 2 NL-2280 HV Rijswijk - Pays Bas Tel. +31 70 340 - 2040 see form Kock, Søren PCT/SA/210 Telephone No. +31 70 340-0 European P In Patent Offic Fax: +31 70 340 - 3016 Form PCT/SA/237 (Cover Sheet) (July 2022)",6
"WRITTEN OPINION OF THE INTERNATIONAL SEARCHING AUTHORITY International application No. PCT/EP2022/071991 Box No. I Basis of the opinion 1. With regard to the language, this opinion has been established on the basis of: the international application in the language in which it was filed. a translation of the international application into , which is the language of a translation furnished for the purposes of international search (Rules 12.3(a) and 23.1 (b)). 2. This opinion has been established taking into account the rectification of an obvious mistake authorized by or notified to this Authority under Rule 91 (Rule 43bis.1(a)) 3. With regard to any nucleotide and/or amino acid sequence disclosed in the international application, this opinion has been established on the basis of a sequence listing: a. forming part of the international application as filed. b. furnished subsequent to the international filing date for the purposes of international search (Rule 13ter.1(a)), accompanied by a statement to the effect that the sequence listing does not go beyond the disclosure in the international application as filed. 4. With regard to any nucleotide and/or amino acid sequence disclosed in the international application, this opinion has been established to the extent that a meaningful opinion could be formed without a WIPO Standard ST.26 compliant sequence listing. 5. Additional comments: Box No. V Reasoned statement under Rule 43bis.1(a)(i) with regard to novelty, inventive step or industrial applicability; citations and explanations supporting such statement 1. Statement Novelty (N) Yes: Claims Claims 1-19, 33, 34, 40-43, 45-47 No: 20-32, 35-39, 44, 48 Inventive step (IS) Yes: Claims 20-32, 35-39 No: Claims 1-19, 33, 34, 40-48 Industrial applicability (IA) Yes: Claims No: Claims 1-48 2. Citations and explanations see separate sheet Form PCT/SA/237 (July 2022)",7
"WRITTEN OPINION OF THE INTERNATIONAL SEARCHING AUTHORITY International application No. PCT/EP2022/071991 Box No. VII Certain defects in the international application The following defects in the form or contents of the international application have been noted: see separate sheet Box No. VIII Certain observations on the international application The following observations on the clarity of the claims, description, and drawings or on the question whether the claims are fully supported by the description, are made: see separate sheet Form PCT/SA/237 (July 2022)",8
"International application No. PCT/EP2022/071991 WRITTEN OPINION OF THE INTERNATIONAL SEARCHING AUTHORITY (SEPARATE SHEET) Re Item V Reasoned statement with regard to novelty, inventive step or industrial applicability; citations and explanations supporting such statement 1 Reference is made to the following documents: D1 WO 2004/080843 A2 (VINKS LINKS LTD [CA]; VINK MICHAEL A [CA]; VINK HENRIKUS [CA]) 23 September 2004 (2004-09-23) D2 EP 2 394 520 A1 (SHIMIZU KAZUHIKO [JP]) 14 December 2011 (2011-12-14) 2 The present application does not meet the criteria of Article 33(2) PCT, because the subject-matter of independent claim 1 is not new. D1 discloses a ""product"" (ie the device generally denoted 300 in fig. 5A) for storing and dispensing two or more consumable elements 24 for use with a non- combustible aerosol provision system (it is noted that conventional cigarettes as referred to in D1 indeed are suitable for use with HNB devices, as set out in the abstract and Figures 1+2 of D2), in which the product comprises two or more consumable elements 24 and a cigarette tape 316 (the tape forming a carrier), the consumable elements are supported on the carrier, the product is reversibly configurable (by means of locking mechanism associated with key 356; page 8, lines 24-28) between a packed configuration and one or more dispensing configurations, the packed configuration is one in which the consumable elements cannot be removed from the product, a dispensing configuration is a configuration in which a consumable element may be removed from the product. It follows that the subject-matter of independent claim 1 lacks novelty (Article 33(2) PCT). 3 Notwithstanding the observations under Item VIII viz. lack of clarity of the independent claims 40 and 41 the following is noted: 3.1 The present application does not meet the criteria of Article 33(2) PCT, because the subject-matter of independent claims 40 and 41 is not new. From D1, cf. the disclosure of page 6, lines 20-35 and Figs. 1-3AB, is a method known wherein a carrier 14 is provided and a consumable 24 is formed on the carrier. By means of the overlying element 102 which is laminated onto the element 14, the consumable is adhered to the carrier. Form PCT/ISA/237 (Separate Sheet) (Sheet 1) (EPO-April 2005)",9
"International application No. WRITTEN OPINION OF THE INTERNATIONAL SEARCHING AUTHORITY (SEPARATE SHEET) PCT/EP2022/071991 3.2 Concerning claim 43+44 it is noted that the kit thereof merely includes the not- novel product of claim 1 and an unspecified support. Providing a (reusable) support in the form of eg. a table for the product of claim 1 is considered to be within the disclosure of D1 (Article 33(2) PCT). 3.3 The methods set out in claims 45 and 46 concern the removal of a consumable 24 from the carrier 14/316 of D1 and attaching the cigarette to an unspecified support (e.g. a cigarette holder or a device as in D6) or concern the removal - presumable via the perforations 28 - of a consumable with its carrier and overlying element 102. These aspects are considered to be anticipated by D1, notably page 6, lines 30-33 (Article 33(2) PCT). 3.4 The use of a cigarette 24 (when removed from the device of D1) in a device according to D2 is considered to render the subject-matter of claim 47 obvious (Article 33(3) PCT). Similarly, the use the device including a resistive heater (1) of D2 with a cigarette removed from the carrier of D1 renders the subject-matter of claim 48 obvious (Article 33(3) PCT). 4 Dependent claims 2-19, 33, 34 and 42 do not contain any features which, in combination with the features of any claim to which they refer, meet the requirements of the PCT in respect of novelty and/or inventive step, see D1 (page 6, lines 20-35 in conjunction with Fig. 1 and 3AB) re. the features of claims 2-10 and 12-5 re. the material of the carrier and the coiled aspect thereof. The aspects of claims 16-18 regarding the provision of perforations for ease of separation of a portions of the carrier are addressed in D1, page 6, line 27 and in Fig. 1, 2 and 5A. The single cigarette 24 of D1 anticipates the subject- matter of claim 19 (""discrete portion of material""). The cigarette 24 of D1 can be removed from the carrier for subsequent use, hence the subject-matter of dependent claims 33, 34 and 42 is anticipated by D1 (Article 33(2)(3) PCT). 5 The combination of the features of dependent claims 20-32, 35-39 appear to be neither known from, nor rendered obvious by, the available prior art. In particular it is noted that the aspect of claims 20+21 (i.e. two discrete portions of different aerosol generating film) or the provision of a support which serves a susceptor as set out in combination in claims 22-32 neither is disclosed in nor rendered obvious by the prior art available. Likewise, the specifics of the adherence of the consumable to the carrier as set out in claims 35-39 are also not rendered obvious by the prior art insofar as the consumables therein are kept in position by laminating the consumable between two webs/carriers. Form PCT/ISA/237 (Separate Sheet) (Sheet 2) (EPO-April 2005)",10
